# Character art: Universal LPC Spritesheet (art assets only, not generator code).
# Full per-asset credits: https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator/blob/master/CREDITS.csv
"asset","authors","licenses","source_url"
"body+head+eyes","bluecarrot16 | JaidynReiman | Benjamin K. Smith (BenCreating) | ElizaWy | Nila122","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-character-bases"
"hair","bluecarrot16 | Manuel Riecke (MrBeast) | JaidynReiman | ElizaWy","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-hair"
"beard","JaidynReiman | Thane Brimhall (pennomi) | laetissima | ElizaWy | bluecarrot16 | Carlo Enrico Victoria (Nemisys)","CC-BY-SA 3.0 | GPL 3.0 | OGA-BY 3.0 | CC0","https://opengameart.org/content/lpc-base-character-expressions"
"outfit/fighter_t0_male","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/fighter_t0_female","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/fighter_t1_male","Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | bluecarrot16 | JaidynReiman | Michael Whitlock (bigbeargames)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/fighter_t1_female","Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | bluecarrot16 | JaidynReiman | Michael Whitlock (bigbeargames)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/fighter_t2_male","Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | bluecarrot16 | JaidynReiman | Michael Whitlock (bigbeargames) | Napsio (Vitruvian Studio)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/fighter_t2_female","Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | bluecarrot16 | JaidynReiman | Michael Whitlock (bigbeargames) | Napsio (Vitruvian Studio)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/fighter_t3_male","Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | bluecarrot16 | JaidynReiman | Michael Whitlock (bigbeargames) | Napsio (Vitruvian Studio)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/fighter_t3_female","Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | bluecarrot16 | JaidynReiman | Michael Whitlock (bigbeargames) | Napsio (Vitruvian Studio)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/ranger_t0_male","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/ranger_t0_female","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/ranger_t1_male","JaidynReiman | bluecarrot16 | Nila122 | ElizaWy | Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | Stephen Challener (Redshrike) | Joe White | Michael Whitlock (bigbeargames)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair"
"outfit/ranger_t1_female","JaidynReiman | bluecarrot16 | Nila122 | ElizaWy | Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | Stephen Challener (Redshrike) | Joe White | Michael Whitlock (bigbeargames)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair"
"outfit/ranger_t2_male","JaidynReiman | bluecarrot16 | Nila122 | Michael Whitlock (bigbeargames) | Matthew Krohn (makrohn) | Johannes Sjölund (wulax)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair"
"outfit/ranger_t2_female","JaidynReiman | bluecarrot16 | Nila122 | Michael Whitlock (bigbeargames) | Matthew Krohn (makrohn) | Johannes Sjölund (wulax)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair"
"outfit/ranger_t3_male","JaidynReiman | bluecarrot16 | Nila122 | Michael Whitlock (bigbeargames) | Matthew Krohn (makrohn) | Johannes Sjölund (wulax)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair"
"outfit/ranger_t3_female","JaidynReiman | bluecarrot16 | Nila122 | Michael Whitlock (bigbeargames) | Matthew Krohn (makrohn) | Johannes Sjölund (wulax)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair"
"outfit/mage_t0_male","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/mage_t0_female","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike) | Luke Mehl","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/mage_t1_male","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/mage_t1_female","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike) | Luke Mehl","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/mage_t2_male","Nila122 | JaidynReiman | Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | Stephen Challener (Redshrike) | bluecarrot16","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"outfit/mage_t2_female","Nila122 | JaidynReiman | Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | Stephen Challener (Redshrike) | Luke Mehl","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
